ransom_group_no,categories
apexbrasil.com.br,Customer
apexbrasil.com.br,Financial
apexbrasil.com.br,Health
apexbrasil.com.br,Internal Documents
apexbrasil.com.br,PII
apexbrasil.com.br,Private Communications
apexbrasil.com.br,Source Code
apexbrasil.com.br,Strategic
apexbrasil.com.br,System Configurations
contest.omg,Customer
contest.omg,Financial
contest.omg,Internal Documents
contest.omg,Media
contest.omg,Source Code
vikrantsprings.com,Financial
vikrantsprings.com,Internal Documents
bspcr.com,Customer
bspcr.com,Financial
bspcr.com,Health
bspcr.com,Internal Documents
bspcr.com,Media
bspcr.com,PII
bspcr.com,Private Communications
bspcr.com,Source Code
jmjcorporation.com,Internal Documents
jmjcorporation.com,Private Communications
acla-werke.com,Financial
acla-werke.com,Health
acla-werke.com,Media
acla-werke.com,Private Communications
dowley.com,Customer
tetco.com,Credentials
tetco.com,Financial
tetco.com,Internal Documents
tetco.com,Media
tetco.com,Source Code
tetco.com,System Configurations
cloudminds.com,Customer
cloudminds.com,Financial
cloudminds.com,Health
cloudminds.com,Internal Documents
cloudminds.com,PII
cloudminds.com,Private Communications
cloudminds.com,Strategic
telekom.com,Financial
bridgestoneamericas.com,Financial
bridgestoneamericas.com,Internal Documents
easternshipbuilding.com,Financial
easternshipbuilding.com,Internal Documents
universalservicesms.com,Financial
universalservicesms.com,Health
universalservicesms.com,Internal Documents
universalservicesms.com,Location
universalservicesms.com,Media
universalservicesms.com,PII
universalservicesms.com,Private Communications
universalservicesms.com,Source Code
universalservicesms.com,Strategic
universalservicesms.com,System Configurations
albanybank.com,Customer
albanybank.com,Financial
albanybank.com,Internal Documents
albanybank.com,Media
albanybank.com,Strategic
casajove.com,Customer
casajove.com,Financial
casajove.com,Health
casajove.com,Internal Documents
casajove.com,Media
casajove.com,PII
casajove.com,Private Communications
carsonteam.com,Media
taylorlaw.net,Customer
taylorlaw.net,Financial
taylorlaw.net,Internal Documents
taylorlaw.net,Location
taylorlaw.net,Media
taylorlaw.net,PII
taylorlaw.net,Source Code
taylorlaw.net,Strategic
taylorlaw.net,System Configurations
taylorlaw.net,Trade Secrets
aei.cc,Customer
aei.cc,Financial
aei.cc,Health
aei.cc,Internal Documents
aei.cc,Media
aei.cc,PII
themisbourne.co.uk,Customer
themisbourne.co.uk,Internal Documents
themisbourne.co.uk,Location
themisbourne.co.uk,Media
themisbourne.co.uk,Source Code
coreengg.com,Financial
coreengg.com,Internal Documents
coreengg.com,Media
robesoncoso.org,Customer
robesoncoso.org,Financial
robesoncoso.org,Internal Documents
robesoncoso.org,Media
robesoncoso.org,Private Communications
robesoncoso.org,Source Code
robesoncoso.org,Strategic
robesoncoso.org,System Configurations
robesoncoso.org,Trade Secrets
paybito.com,Credentials
paybito.com,Customer
paybito.com,Financial
paybito.com,PII
customssupport.be,Internal Documents
nfcaa.org,Financial
nfcaa.org,Internal Documents
nfcaa.org,Location
nfcaa.org,PII
nfcaa.org,Private Communications
nfcaa.org,Strategic
bildco.ae,Financial
bildco.ae,Health
bildco.ae,Internal Documents
bildco.ae,Strategic
crbrandsinc.com,Customer
crbrandsinc.com,Financial
crbrandsinc.com,Internal Documents
crbrandsinc.com,PII
crbrandsinc.com,Private Communications
crbrandsinc.com,Strategic
unisi.it,Customer
unisi.it,Internal Documents
unisi.it,Media
