ransom_group_no,categories
18,"Personal Identity, Legal Data, Financial Data, Government IDs"
233,"Internal Data, Company Information, Public Data, Intellectual Property, Financial Data, Legal Data, Customer Data, Authentication Data, Regulatory Data"
65,"Internal Data, Financial Data, Intellectual Property"
12,"Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
102,"Personal Identity, Contact Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
276,"Internal Data, Financial Data, Company Information, Public Data, Customer Data, Legal Data, Intellectual Property, Authentication Data, Contact Information, Personal Identity"
20,"unpack/sales/Chester ISD/Video Surveillance Replacement/Estimate/Vendor Quotes  Pricing/Formal Quote_Q0009BPC (1).pdf - Company Information, Public Data, Internal Data, Customer Data, Financial Data
unpack/sales/CC Creations/DWGs and Plans/Bid Drawings/Electrical/E3.01B-LIGHTING-PLAN-FIRST-FLOOR-B-Rev.0 (1).pdf - Company Information, Internal Data, Intellectual Property
"
57,"unpack/TestServer/Admin_Desktop/HUB OnLine As On 22-March-2023 V2.0/HUB OnLine As On 22-March-2023 V2.0/HUB OnLine V10/ProductionAccountAudit.aspx - Internal Data, Customer Data, Legal Data, Financial Data, Regulatory Data
unpack/TestServer/Admin_Desktop/SEC As On 14-Feb-2023 V3.0/SecondaryV10/rptDemoLoadingChart.rpt -"
154,"2023-12-20 12:06:41 ....A        96107               21. olea.com/Travellers/3-Shipped/2021/PAR221206- Austin 3.0-22-P, Desk top - Partech - 1/Contract/PACKING SLIP 303847.pdf
Internal Data, Customer Data, Legal Data, Financial Data

2023-12-24 07:56:45 D....            0"
220,"Internal Data, Financial Data, Legal Data, Intellectual Property"
166,"DOC/doc/265???.doc - Public Data, Internal Data
DOC/doc/?????????.doc - Public Data, Internal Data
PDF/2-pack/20200916????[2020]342? ??????????????????????????????.pdf - Public Data, Internal Data
PDF/1-pack/????2023???????????????????(3).pdf - Public Data, Internal Data
PDF/1-pack/????12.pdf - Public Data, Internal Data
X"
33,"Contact Information, Company Information, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Intellectual Property"
265,"Public Data, Internal Data, Public Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data,"
268,"gpaa.gov.za4/Userdata/DEV118/CDR/CDR 8.2 Old/CDR_ERD/CDR_ERD8v2/logical/entity/seg_0/DE0764BC-6799-62B2-FAF5-809DE652C225.xml - Internal Data, Regulatory Data
gpaa.gov.za4/Business/PR1/MilMed/COIDLink/Data_from_COIDLink/Statements/2020"
34,"bfusa.com/bfrc-dfs/Common/1 BSRO Marketing/Budget/2021/Digital Budgets/CC 202354/Invoices/November/NVISION.pdf - Financial Data, Internal Data
bfusa.com/bfrc-dfs/Common/1 BSRO Marketing/Daily Category & Service Reports/Category Sales Report October 10 2021 vs October 11 2020.xlsx - Internal Data, Company Information
bfusa.com/bfrc-dfs/Common/1"
262,"Contact Information, Company Information, Financial Data, Government IDs, Intellectual Property"
250,"Personal Identity, Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
159,"Finance, Personal Identity, Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property, Documents, Pictures, Student, Summary, Development, Detail, Banks, Bank Statements, Personal Pictures, Facebook, MobileUploads, Transcripts, Adjunct Faculty, Current, Davis, Deanna, Old Student Files, Prior Students' Finance Records, Henderson, Leroy, Misc - Old"
271,"ClientShares/Data/REVIT Library/_Manufacturer Families/Plumbing Fixtures/Sinks/American Standard/Aqualyn 8 inch Widespread Less Overflow Drop-In - 0475.920.rfa - Company Information, Internal Data, Intellectual Property
ClientShares/Client/327 Residential/3270823 Adam Jones/Drawings/Working Drawings/2023.05.24/ADAM JONES GARAGE EXTERIOR PERSPECTIVE 01.pdf - Company Information,"
50,"unpack/ICT/APPZ/sage/OLD X3 SERVER/Sage/X3CORE/backup live v6/EIF/ECR/ABC1.msk - Internal Data, Authentication Data
unpack/EIF/TMP/M1500000485.tra - Internal Data
unpack/EIF/ECR/FIL/RITENZIONE.srf - Internal Data
unpack/EIF/TRT/W1WH2STD8.adx - Internal Data
unpack/EIF/ECR"
27,"unpack/Herb/HP ProBook 4720s/swsetup/sp48755/setup.inx, Internal Data
unpack/KFC AUSTRALIA/13. JOBS/Complete Jobs/14-6B BILL JUNE 2014 PART B (P8 & P8B)/J807_9 FOR $9.95 P9/Creative/V1 SEnt 2.6.14, Company Information, Customer Data
unpack/Herb/HP ProBook "
7,"USER_LOGIN_HISTORY, TEMP_USERS, USER_APP_SETTINGS, NODE_BALANCE_HISTORY, CUSTOMER_LEDGER, ADMIN_USER_LOGIN_TRY, CHK_UPDATE_CUSTOMER_LEDGER, ADMIN_USER_LOGIN_HISTORY, USERS"
15,"Internal Data, Company Information, Financial Data, Legal Data, Public Data, Customer Data, Authentication Data, Intellectual Property"
62,"Contact Information, Company Information, Internal Data, Customer Data, Financial Data, Health Data, Intellectual Property"
